output_all
know	when	Neg	A worker at Dole 's campaign office in Phoenix , who did not want to be identified , said Dole will campaign in Arizona again before Election Day , although he did n't know when .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 144067
guess	what	No	Well , guess what .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 144649
know	when	Neg	`` We have n't had any good general rainfall in , oh , I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 146475
ask	why	No	If you 're buying a car with a lot less mileage than that , and the tires are all brand new or do n't match , ask why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 157909
outlast	who	No	In that situation it 's almost like who is gonna outlast who .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 167481
know	how	Neg	Sandy Sweitzer , the organizer of the local Quaker meeting house , and one of the conveners of the ministers ' meetings , said that `` people in the community were dying to connect with each other , but did n't know how . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 169377
wonder	why	No	If it 's a legitimate question and they 're evasive , however , then you need to wonder why . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 173180
explain	why	No	But do n't ask me to explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 173930
know	how	Neg	And now I 'm here and I do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 180522
explain	why	No	But do n't ask me to explain why . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 180889
see	why	No	`` I know that Nolan was Roger 's favorite player , and I can see why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 181076
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 191160
know	exactly how much	Neg	We do n't know exactly how much , and that 's why we need this mechanism . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 193094
know	who	Neg	`` Someone , I do n't know who , has stripped Bob Dole of the things that made him appealing , '' a Midwestern Republican official said .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 199756
do	when	No	Field workers are befuddled about what to do when , and some are fighting their torment about the justness of it all .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 200911
say	how much	No	The broken bone in Dan Marino 's right foot could be related to the Achilles ' tendon he tore in the same foot , but it 's impossible to say how much , Dolphins trainer Kevin O'Neill said Wednesday .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 203203
know	how many	Neg	Moctezuma Esparza , the film 's producer , said `` many '' jobs were filled by Texans , but he did n't know how many .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 203465
know	where	Neg	`` I 'll have to find work , but I do n't know where , '' she said .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 208708
say	how many	Neg	Some jobs will be cut , but he did n't say how many .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 217540
say	how many	Neg	Some jobs will be cut , but he did n't say how many .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 218243
know	why	Neg	`` This is a very difficult place for us to win and has been over the years , '' said GM Chuck Schmidt,``and I really do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 227219
know	why	No	His heart started pounding away , the doctors said they did n't really know why , but they said he was `` strong as an ox . ''	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 234073
know	what	Neg	But otherwise , just my father letting me know that my stepmother was maybe hurt , maybe angry , I do n't know what , by `` Impossible Vacation '' -LRB- his novel -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 234771
see	why	No	It caught the Vikings completely by surprise and it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 237980
ask	Why	No	I 'm sure at times when things were going bad he might ask ` Why ? '	Treebanks/NYT-Parsed/nyt_eng_199609.tgrep2 241674
know	why	No	`` You will know why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 5945
see	how	No	It 's hard to see how .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 8844
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 10846
understand	why	No	To understand why , talk to Janet Drews .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 14285
understand	why	No	To understand why , talk to Janet Drews .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 17494
realize	how often	Neg	`` You know that you write a $ 14 check to the dry cleaners for your shirts , but you just do n't realize how often . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 30757
understand	why	No	It was only with the help of his wife , Bernadette , and some counseling during the past year that he 's come to understand why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 34578
find	why	No	You do n't have to look farther than the New York Stock Exchange to find out why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 35579
say	by how much	Neg	Cargill Inc. also will reduce hog slaughter hours , but would not say by how much .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 38185
decide	how	No	`` The Werhayas '' or spiritual leaders `` will decide how . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 46561
see	why	No	Kemp dislikes Dole 's use of `` liberal '' as an epithet , and it 's not hard to see why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 50707
know	why	No	`` We were in the 1992 debates and we were excluded from the 1996 debates , and if you watched -LRB- Sunday -RRB- night , you 'll know why , '' Perot said .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 60702
know	what	No	`` Everyone expects HFS to continue to look for acquisitions , '' said Daniel P. Wolfe of Oppenheimer & Company , `` and though you never know what , it wo n't include hard assets .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 60911
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 61567
see	why	No	But come back in December and you 'll see why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 72007
wonder	why	No	A lot of people are beginning to wonder why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 75251
explain	why	No	Despite a rash of highly publicized child-abuse cases , the number of children dying at the hands of their parents has declined sharply in New York City and State in the last five years , leaving government officials and child-welfare experts at a loss to explain why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 79733
know	why	No	I wanted to know why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 80225
know	why	Neg	`` I do not know why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 88581
understand	why	No	Perhaps now you can begin to understand why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 90542
know	why	No	And when we do win , we 'll know why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 91456
see	how	No	You 'll need to check the manual that came with your computer to see how .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 112475
say	exactly where	Neg	Rasche seems to be somewhere in his early 50s , though he wo n't say exactly where .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 115553
find	why	No	I have interviewed young people galore to find out why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 116430
have	Why	No	It 's still like I have to know all the issues , you have to have specifics Why ?	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 127289
pinpoint	how or where	No	Snow predicted initial operational savings of $ 550 million a year , but declined to pinpoint how or where .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 129318
see	what	No	Why could n't she take a test first to see what she what she knew already ?	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 135585
know	why	No	In all three cases the NTSB suspects that the planes went into sudden uncommanded rolls , but they do n't yet know why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 141124
know	why	Neg	I do n't know why , but I said yes . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 144127
wonder	why	No	Sometimes , I wonder why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 148575
know	why	No	When an officer walked in behind him and asked to see his driver 's license , Brown wanted to know why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 148623
know	how	No	`` Push off with your back foot you know how . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 154995
predict	when	No	James Lyons , professor of Earth sciences at Worcester State College , said the buildup of water under the glacier in a volcanic caldera , or crater , makes it virtually certain that it will burst out at some point , but there is no way to predict when .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 160258
know	how good	Neg	`` I knew it was something good but I did n't know how good . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 166395
guess	what	No	`` And guess what ? ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 166452
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 173751
<none>	<none>	No	`` The macros had a lackluster September , '' said Gradante .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 174998
know	when	Neg	`` The market thinks a rate hike is coming but it does n't know when , '' said Nick Kalivas , senior credit analyst at Refco Inc. in Chicago .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 176653
say	from whom	Neg	The issue arose after a complaint to the paper Caperton would not say from whom said the column , `` Behind Closed Doors , '' was unfairly singling out Stephen Goldsmith , the Republican mayor of Indianapolis and his party 's candidate for governor , for jabs .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 179843
guess	what	No	And if the results are n't good , if the job does n't get done , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 180732
say	when	Neg	Assicurazioni Generali spokesman Claudio Grisancich said the two companies will issue a joint statement announcing the sale , but he could n't say when .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 184226
say	how	Neg	Reducing the influence of special-interest political action committees , although he did not say how .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 189958
reveal	how	Neg	But he wo n't reveal how .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 206335
wonder	why	No	`` It kind of makes you wonder why , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 212431
wonder	why	No	Mine was not to wonder why ; mine was to pay the difference or else !	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 213593
figure	how	No	Kellogg may still have the muscle to blow its competitors out of the water -- but at the moment it just ca n't seem to figure out how .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 217546
clear	how much	Neg	The committee also paid some campaign bills for state Legislature candidates in New York , but it was not clear how much .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 222359
determine	why	No	Investigators have already re-built most of the plane 's center fuel tank , which exploded in the crash , but they have yet to determine why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 238828
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 250505
decide	how and when	No	In next year 's election , candidates will have to participate in up to four debates , but it will not be up to them to decide how and when .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 259426
see	why	No	It 's easy to see why : Buyout investors have been big winners , thanks to rising stock prices and America 's love affair with the new issues market , which seems to be cooling only recently .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 263478
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 267549
care	which	Neg	`` Either Thompson dies or I die , by which I mean , either this dies as a legal issue or I do , and I do n't care which , but this ends now , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199610.tgrep2 267954
see	how	No	To see how , you do n't need to look any further than a couple of recently published books by economists ordinarily considered to be deeply conservative men .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 9298
know	why	Neg	I 'm not trying to say he 's literally frightened of George Foreman but he 's scared to do this and I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 10953
know	where	Neg	At the New Jersey diner , Dole told the crowd that his next stop was Philadelphia , `` then Indianapolis , then Kentucky , then somewhere else ; I do n't know where . ''	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 13150
know	why	Neg	Women with heart disease generally fare worse than men , Goldschmidt said , and researchers do not know why .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 14140
know	why	Neg	`` People do n't know why , but they hear a lot of politicians using the same words , '' he added .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 19921
understand	why	Neg	`` They 've let it go down the toilet , and I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 29600
foresee	why	Neg	`` I can not foresee why '' the talks would be affected , Texaco spokeswoman Cynthia Michener said , although she noted `` it 's not a done deal yet . ''	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 35595
say	for whom	Neg	Michael Hanke , editor of The Repository , which last week endorsed a Democrat for President for only the second time in 181 years , voted at the Free Methodist Church in Jackson , but would not say for whom .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 37462
say	for whom	Neg	Michael Hanke , editor of The Repository , which last week endorsed a Democrat for president for only the second time in 181 years , voted at the Free Methodist Church in Jackson , but would not say for whom .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 39395
say	when	No	Now it 's up to -LRB- Hitchcock -RRB- to say when , '' Huard said .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 40122
know	why	Neg	I do n't know why , '' Weld said .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 49768
say	how much	No	It 's increasing its budget for Web ads this year , although it declined to say how much .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 56716
know	why	Neg	`` I do n't know why , but for some reason , I trusted him .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 58182
say	how many	Neg	Melvyn Weiss of the law firm Milberg Weiss Bershad Hynes & Lerach said his firm had been retained by some Texaco shareholders , though he would n't say how many .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 60584
identify	from whom	Neg	As of the end of October , the NASD had received two formal submissions and several informal inquiries about the policy , although it would not identify from whom .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 61252
know	how	Neg	Lycos president Bob Davis said that Blockbuster , which is owned by Viacom Inc. , wants to reach out to millions of Americans who would like to get onto the Internet , but do n't know how .	Treebanks/NYT-Parsed/nyt_eng_199611.tgrep2 61620
